,In,Out,Test,Blah,Hmm,Email,domain,provider,is_valid,is_reachable,is_billable,mailbox_status,status,score
234,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,active,unknown,57
235,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,inactive,unknown,80
236,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,invalid,53
237,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,unknown,76
238,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,inactive,unknown,77
239,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,active,invalid,91
240,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,active,unknown,90
241,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,inactive,valid,89
242,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,active,unknown,93
243,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,active,valid,53
244,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,inactive,invalid,33
245,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,active,unknown,33
246,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,active,unknown,33
247,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,active,unknown,90
248,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,active,unknown,89
249,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,active,unknown,41
250,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,inactive,unknown,36
251,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,inactive,unknown,7
252,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,valid,22
253,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,inactive,invalid,62
254,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,active,unknown,45
255,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,inactive,unknown,20
256,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,active,valid,11
257,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,active,unknown,5
258,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,active,valid,67
259,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,inactive,unknown,41
260,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,active,unknown,77
261,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,inactive,invalid,74
262,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,invalid,69
263,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,active,valid,24
264,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,valid,80
265,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,active,invalid,86
266,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,active,valid,84
267,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,active,unknown,9
268,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,inactive,invalid,44
269,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,inactive,valid,54
270,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,inactive,invalid,73
271,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,inactive,invalid,84
272,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,inactive,unknown,54
273,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,active,valid,20
274,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,active,valid,2
275,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,valid,65
276,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,inactive,unknown,38
277,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,inactive,valid,82
278,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,active,invalid,41
279,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,inactive,valid,15
280,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,active,valid,33
281,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,active,valid,22
282,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,active,valid,10
283,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,active,invalid,34
284,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,unknown,36
285,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,active,invalid,99
286,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,active,unknown,66
287,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,active,valid,69
